date,0x20240820,,,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,oplus-ufcs,oplus-ufcs,end
crc32,0xf2e78607,NA,0xf279748,NA,0x29e56ed3,NA,0x151857a0,NA,0xc87d05bc,NA,0x3527ebcd,NA,0x870bad23,NA,0x91f4de31,NA,end
63,4149,243,917,1105,659,1511,261,4576,759,1324,261,3905,301,2961,151,6036,end
64,4178,243,926,1105,659,1501,252,4575,814,1325,301,3857,311,2961,201,6039,end
65,4192,242,916,1104,713,1500,201,4574,809,1323,249,3993,301,2957,161,6036,end
66,4201,240,867,1104,662,1499,262,4575,811,1317,263,3953,360,2959,201,6037,end
67,4253,240,916,1104,669,1495,201,4581,762,1311,300,3906,301,2959,151,6026,end
68,4191,240,926,1105,709,1494,252,4578,807,1311,245,3938,311,2960,201,6026,end
69,4202,239,916,1104,662,1492,262,4578,809,1308,262,4065,301,2957,161,6029,end
70,4239,239,917,1102,709,1489,201,4578,809,1303,301,3997,311,2957,193,6028,end
71,4239,238,867,1102,657,1488,252,4580,809,1299,250,3935,301,2956,201,5013,end
72,4288,238,925,1102,713,1482,211,4575,809,1298,311,3886,361,2959,211,5013,end
73,4243,237,915,1102,723,1475,251,4581,818,1295,250,3906,311,2957,252,5013,end
74,4295,236,916,1100,659,1472,201,4581,810,1291,251,3852,301,2960,201,5014,end
75,4307,235,925,1099,714,1470,262,4580,859,1288,258,3998,311,2961,211,5012,end
76,4280,236,915,1099,662,1466,201,4581,761,1277,290,4092,301,2959,201,5009,end
77,4300,234,913,1095,709,1462,251,4584,860,1282,261,4074,311,2959,201,5008,end
78,4359,234,926,1091,713,1463,262,4582,805,1278,251,4011,351,2962,211,5013,end
79,4348,233,916,1089,712,1457,201,4582,870,1270,299,3961,311,2963,251,5015,end
80,4508,232,915,1087,670,1453,251,4584,762,1268,262,3881,301,2960,201,5015,end
81,4333,233,916,1084,714,1448,212,4581,861,1262,249,3914,311,2960,211,5013,end
82,4346,232,975,1083,709,1450,252,4579,807,1263,290,4021,301,2958,249,5015,end
83,4397,232,916,1078,710,1445,201,4580,859,1251,261,4002,361,2963,201,4815,end
84,4395,231,916,1076,712,1441,252,4585,808,1254,242,4092,301,2961,216,4813,end
85,4363,229,925,1073,721,1437,211,4580,860,1250,250,4082,311,2961,353,2979,end
86,4451,229,966,1072,712,1437,252,4582,867,1246,312,4027,311,2958,363,2979,end
87,4398,229,915,1068,714,1433,252,4582,853,1243,258,3956,301,2960,353,2982,end
88,4435,229,976,1065,708,1436,212,4581,809,1236,359,3014,346,2961,364,2981,end
89,4460,227,916,1063,706,1430,201,4583,859,1231,330,3108,1918,482,353,2981,end
90,4406,227,915,1062,746,1423,251,4580,859,1229,334,3061,1917,482,362,2981,end
